SourceCountry,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4
People's Republic of China,7864,8638,8283,8233,9205,10040,8279,6354
India,6242,8727,7116,6857,6709,9637,6105,8083
Philippines,7140,9845,7818,7951,6617,7735,6526,6381
Pakistan,1955,3050,2588,2338,2966,3494,2949,1925
United States of America,2103,3027,2125,2159,2307,3103,2651,2551
Iran,1175,1537,1955,1796,1930,3043,2870,2189
France,1665,2381,2194,1898,1775,2085,1739,1551
United Kingdom and Colonies,1585,1751,1547,1482,1202,1575,1572,1582
Republic of Korea,1447,1293,1369,1200,967,1026,1013,1445
United Arab Emirates,779,1166,1475,833,787,1117,1411,776
Haiti,1126,1627,1343,1503,1012,1315,921,701
Mexico,948,1110,1108,866,821,1038,1011,1022
Algeria,591,904,976,776,796,1184,1095,701
Nigeria,589,698,905,903,815,1216,811,925
Bangladesh,587,769,528,565,568,1210,1106,719
Egypt,697,1398,1673,1055,860,1034,1157,525
Colombia,934,1076,1052,616,712,1131,879,669
Morocco,641,1166,1040,779,661,985,761,643
Jamaica,472,563,535,576,524,655,671,553
Ukraine,426,665,549,563,513,628,642,615
Russia,500,435,447,580,608,712,579,446
Sri Lanka,657,773,835,887,586,504,503,612
Federal Republic of Cameroon,278,601,612,551,386,743,603,432
Lebanon,204,309,341,327,430,496,619,571
Socialist Republic of Vietnam,407,518,356,421,369,706,607,398
Israel,339,683,761,400,425,489,587,507
Saudi Arabia,350,544,616,382,405,568,568,370
Turkey,350,595,498,376,336,401,356,708
Syria,249,260,206,172,228,424,508,620
Iraq,491,540,480,613,428,571,453,293
Brazil,365,466,406,379,431,479,381,365
Afghanistan,382,674,485,613,308,566,445,321
Tunisia,312,430,379,353,446,520,405,236
Kenya,139,225,389,286,331,436,463,292
Australia,289,343,321,286,274,384,423,409
Republic of South Africa,313,322,376,347,305,446,392,340
Romania,311,380,383,402,410,422,341,261
Ethiopia,380,467,534,359,345,233,429,385
Cuba,287,361,372,265,545,409,180,247
Federal Republic of Germany,491,608,455,335,250,347,385,332
Nepal,272,394,365,280,208,364,298,402
Jordan,138,274,285,191,152,292,477,343
Eritrea,247,228,237,268,229,278,345,390
Hong Kong,223,289,299,282,278,330,312,272
Moldova,381,367,352,301,318,304,257,308
